ID,Datetime,Selected,Probability,Median Return Rate,Expected Undelayed Return Rate (random trend),Expected Actual Return Rate (random trend),Matched Trend Count,Interrupted Trend,Interrupted Trend Undelayed Return Rate,Interrupted Trend Actual Return Rate,Hit Rate (after first 30 mins),MDD (all the time),Undelayed Fund Remaining (commns. and fees deducted),Fund Remaining (commns. and fees deducted),Commns. and Fees (2 contracts),yFin Minute Delay,Close Price 1,Close Price 2,Close Price 3,Close Price 4,Close Price 5,Close Price 6,Close Price 7,Close Price 8,Close Price 9,Close Price 10,Close Price 11,Close Price 12
465,2018-08-29 07:12:00 EDT,3,0.7143,0.0005,0.0003,0.0002,7,true,-0.0002514515612854026,-0.0003390236326760589,0.0108,0.0014,10057.29,10117.29,0.542,1,217.256,217.26346763826348,217.33067638263498,217.33067638263498,217.32694256350322,217.3530792974255,217.46509387137797,217.40535276526998,217.40908658440173,217.42028804179697,217.435223318324,217.4128204035335
465,2019-10-24 10:26:00 EDT,3,0.7143,0.0005,0.0003,0.0002,7,true,-0.0002514515612854026,-0.0003390236326760589,0.0108,0.0014,10057.29,10117.29,0.542,1,217.1908232,217.17633946666666,217.2342744,217.24151626666668,217.256,217.25237906666666,217.29220933333335,217.33566053333334,217.34290239999999,217.39352304800002,217.3573861333333,217.36824893333332
465,2019-12-02 09:46:00 EST,3,0.7143,0.0005,0.0003,0.0002,7,true,-0.0002514515612854026,-0.0003390236326760589,0.0108,0.0014,10057.29,10117.29,0.542,1,217.3116193158181,217.24390279880956,217.29771448686358,217.26642862171587,217.27338103619314,217.24557137828413,217.22123792761369,217.2001025876028,217.1864063310826,217.123904124932,217.1656186117956,217.21428551313642
624,2016-09-02 05:42:00 EDT,3,1.0,0.0012,0.0018,0.0016,5,true,0.0012857398800678486,0.0009022533949216432,0.0097,0.0014,10111.748,10151.748,0.542,1,218.52,218.6,218.52,218.61,218.71,218.72,218.66,218.68,218.74,218.819,218.74,218.745
624,2020-05-20 05:53:00 EDT,3,1.0,0.0012,0.0018,0.0016,5,true,0.0012857398800678486,0.0009022533949216432,0.0097,0.0014,10111.748,10151.748,0.542,1,218.38426910243015,218.2885382048603,218.25171862887188,218.2443547136742,218.1265320705113,218.26644645926723,218.3989969328255,218.42108867841856,218.45054433920927,218.61991438875594,218.6346422191513,218.61255047355826
624,2020-10-19 05:41:00 EDT,3,1.0,0.0012,0.0018,0.0016,5,true,0.0012857398800678486,0.0009022533949216432,0.0097,0.0014,10111.748,10151.748,0.542,1,218.486257124037,218.4518429418335,218.38614313944495,218.36111464329696,218.4824402783744,218.37988601540795,218.42681444568547,218.46748575192598,218.5350626915256,218.46748575192598,218.44245725577798,218.4831285620185
624,2021-10-05 06:18:00 EDT,3,1.0,0.0012,0.0018,0.0016,5,true,0.0012857398800678486,0.0009022533949216432,0.0097,0.0014,10111.748,10151.748,0.542,1,218.5203676844196,218.4522472169615,218.373984368793,218.46990807889506,218.4951378816573,218.65660861933574,218.63390179684973,218.5203676844196,218.60614901381126,218.83826319922397,218.78780359369944,218.80041849508058
624,2023-12-22 04:40:00 EST,3,1.0,0.0012,0.0018,0.0016,5,true,0.0012857398800678486,0.0009022533949216432,0.0097,0.0014,10111.748,10151.748,0.542,1,218.56979860254827,218.63196686585093,218.61815169622813,218.62966433758046,218.6572946768261,218.7609084489972,218.7171604118583,218.7171604118583,218.77237503978415,218.81847165575894,218.7908413165133,218.87142980597974
625,2016-09-02 05:43:00 EDT,3,1.0,0.0012,0.0012,0.0009,4,true,0.0013682958081639126,0.000640439158280031,0.0113,0.0014,10166.206,10176.206,0.542,1,218.6,218.52,218.61,218.71,218.72,218.66,218.68,218.74,218.819,218.74,218.745,218.79
625,2019-05-16 05:58:00 EDT,3,1.0,0.0012,0.0012,0.0009,4,true,0.0013682958081639126,0.000640439158280031,0.0113,0.0014,10166.206,10176.206,0.542,1,218.63402233276514,218.70243573242422,218.64162382161615,218.64922531046713,218.64162382161615,218.64922531046713,218.70243573242422,218.6948342435732,218.71003722127526,218.629233394789,218.6796312658712,218.6796312658712
625,2019-11-25 04:42:00 EST,3,1.0,0.0012,0.0012,0.0009,4,true,0.0013682958081639126,0.000640439158280031,0.0113,0.0014,10166.206,10176.206,0.542,1,218.52,218.4885300988895,218.49202675456843,218.5269933113579,218.56895317950523,218.5130066886421,218.4941946810894,218.50951003296314,218.55496655678942,218.60391973629467,218.62566893461772,218.62182261337085
625,2021-10-05 06:19:00 EDT,3,1.0,0.0012,0.0012,0.0009,4,true,0.0013682958081639126,0.000640439158280031,0.0113,0.0014,10166.206,10176.206,0.542,1,218.4518796471621,218.3736169306794,218.4695404793793,218.49477023968967,218.6562407056759,218.6335339213966,218.52000000000004,218.60578118505524,218.83789497991043,218.78743545928972,218.8000503394449,218.8631247402208
626,2016-07-08 05:53:00 EDT,3,0.875,-0.0006,-0.0004,-0.0001,8,true,-0.0006573036364498003,-0.00010695422221666334,0.0129,0.0014,10140.664,10175.664,0.542,1,218.5586513453445,218.56898850900834,218.50179694519315,218.45631342507207,218.49662836336122,218.4242682177141,218.4242682177141,218.47595403603344,218.48629119969735,218.49662836336122,218.56898850900834,218.50696552702507
626,2016-09-02 05:44:00 EDT,3,0.875,-0.0006,-0.0004,-0.0001,8,true,-0.0006573036364498003,-0.00010695422221666334,0.0129,0.0014,10140.664,10175.664,0.542,1,218.52,218.61,218.71,218.72,218.66,218.68,218.74,218.819,218.74,218.745,218.79,218.83
626,2016-10-26 07:08:00 EDT,3,0.875,-0.0006,-0.0004,-0.0001,8,true,-0.0006573036364498003,-0.00010695422221666334,0.0129,0.0014,10140.664,10175.664,0.542,1,218.55411418975652,218.5439173430357,218.49803153279223,218.49803153279223,218.4674409926299,218.54901576639614,218.5592126131169,218.53881891967532,218.50822837951299,218.47763783935068,218.45826383058122,218.4623425692695
626,2017-05-18 10:10:00 EDT,3,0.875,-0.0006,-0.0004,-0.0001,8,true,-0.0006573036364498003,-0.00010695422221666334,0.0129,0.0014,10140.664,10175.664,0.542,1,218.67367711493088,218.68288675429724,218.5521098752949,218.49408914728681,218.5447421638018,218.6,218.48027468823724,218.50790360633633,218.4434361307718,218.45264577013816,218.49869396697,218.5677662622177
626,2018-05-21 05:47:00 EDT,3,0.875,-0.0006,-0.0004,-0.0001,8,true,-0.0006573036364498003,-0.00010695422221666334,0.0129,0.0014,10140.664,10175.664,0.542,1,218.47535086889388,218.4993064994716,218.47535086889388,218.47535086889388,218.42743960773845,218.40348397716068,218.3396022956201,218.28370582427206,218.31564666504232,218.28370582427206,218.3396022956201,218.29169103446463
626,2018-08-07 05:42:00 EDT,3,0.875,-0.0006,-0.0004,-0.0001,8,true,-0.0006573036364498003,-0.00010695422221666334,0.0129,0.0014,10140.664,10175.664,0.542,1,218.55025556644728,218.5565310180647,218.5234701022266,218.46989917378522,218.49285814311722,218.49285814311722,218.48903164822858,218.43928721467583,218.32449236801568,218.38571628623444,218.4287260887831,218.45076669934184
626,2019-12-06 04:47:00 EST,3,0.875,-0.0006,-0.0004,-0.0001,8,true,-0.0006573036364498003,-0.00010695422221666334,0.0129,0.0014,10140.664,10175.664,0.542,1,218.61062869051756,218.55505383813826,218.61062869051756,218.55505383813826,218.5689475512331,218.48558527266414,218.47863841611672,218.53768669676973,218.48912816950335,218.5147620701633,218.53421326849602,218.5689475512331
626,2024-06-28 10:13:00 EDT,3,0.875,-0.0006,-0.0004,-0.0001,8,true,-0.0006573036364498003,-0.00010695422221666334,0.0129,0.0014,10140.664,10175.664,0.542,1,218.5304757923815,218.58013594068044,218.54636703983715,218.43711471357952,218.35765847630122,218.3536856644373,218.25833817970337,218.2662838034312,218.3914273771445,218.46293799069494,218.4847884559465,218.43711471357952
655,2016-09-02 06:13:00 EDT,3,0.7143,-0.0007,0.0003,0.0,7,false,0.0,0.0,0.0138,0.0014,10150.122,10175.122,0.542,1,218.526,218.51,218.34,218.39,218.45,218.42,218.425,218.45,218.41,218.46,218.52,218.53
655,2018-05-10 09:31:00 EDT,3,0.7143,-0.0007,0.0003,0.0,7,false,0.0,0.0,0.0138,0.0014,10150.122,10175.122,0.542,1,218.39271809523808,218.5222175032175,218.48606692406693,218.46196653796653,218.51418404118402,218.47080334620335,218.47803346203344,218.46196653796653,218.39769884169885,218.41376576576576,218.3936821106821,218.31736422136422
655,2019-03-07 10:55:00 EST,3,0.7143,-0.0007,0.0003,0.0,7,false,0.0,0.0,0.0138,0.0014,10150.122,10175.122,0.542,1,218.56550253178392,218.82813449418964,218.88384430439692,218.95547120323488,218.9116992095006,218.8679272157663,217.1170474663947,217.26030126407056,217.31601107427784,217.13296455502532,216.9578765800882,217.17275727660197
655,2019-05-15 07:05:00 EDT,3,0.7143,-0.0007,0.0003,0.0,7,false,0.0,0.0,0.0138,0.0014,10150.122,10175.122,0.542,1,218.5495733155422,218.50339924462796,218.56496467251358,218.5341819585708,218.61113874342783,218.6265301003992,218.68424768904205,218.7034868852563,218.711182563742,218.78044367011336,218.72657392071343,218.6880955282849
655,2019-07-25 07:23:00 EDT,3,0.7143,-0.0007,0.0003,0.0,7,false,0.0,0.0,0.0138,0.0014,10150.122,10175.122,0.542,1,218.5164030971828,218.5527691608057,218.47647315932488,218.46549060811077,218.47276382083533,218.52367630990736,218.53094952263194,218.50185667173366,218.52367630990736,218.50912988445822,218.50185667173366,218.43639775721243
655,2022-06-09 10:14:00 EDT,3,0.7143,-0.0007,0.0003,0.0,7,false,0.0,0.0,0.0138,0.0014,10150.122,10175.122,0.542,1,218.74821031493366,218.7107589263849,218.70540872802079,218.70808382720287,218.67293302395063,218.617130455013,218.63585614928738,218.69470833129256,218.58770436401042,218.41649801635896,218.36834623108194,218.34159523926144
655,2023-02-28 06:38:00 EST,3,0.7143,-0.0007,0.0003,0.0,7,false,0.0,0.0,0.0138,0.0014,10150.122,10175.122,0.542,1,218.50472585113812,218.4486809648076,218.4536261018368,218.43219717471044,218.46186799688536,218.44719742369887,218.42120798131228,218.35527282092346,218.3305471357777,218.31131604733093,218.30582145063187,218.30582145063187
735,2016-08-18 08:00:00 EDT,3,0.7273,0.0006,0.0006,0.0002,11,true,0.0006035860110065462,0.0002620791198178795,0.0137,0.0014,10174.58,10184.58,0.542,1,218.24597408776486,218.18607125864654,218.20603886835264,218.1960550634996,218.18107935622,218.16111174651388,218.16610364894044,218.18607125864654,218.17608745379349,218.21602267320569,218.1960550634996,218.18607125864654
735,2016-09-02 07:33:00 EDT,3,0.7273,0.0006,0.0006,0.0002,11,true,0.0006035860110065462,0.0002620791198178795,0.0137,0.0014,10174.58,10184.58,0.542,1,218.32,218.33,218.285,218.27,218.28,218.31,218.301,218.265,218.255,218.25,218.23,218.29
735,2018-01-22 08:05:00 EST,3,0.7273,0.0006,0.0006,0.0002,11,true,0.0006035860110065462,0.0002620791198178795,0.0137,0.0014,10174.58,10184.58,0.542,1,218.2454965382567,218.2609930765134,218.29276097993963,218.28423788389847,218.27726444168295,218.28423788389847,218.33072749866852,218.33847576779692,218.36172057518195,218.37721711343863,218.38109124800286,218.36172057518195
735,2018-07-13 09:37:00 EDT,3,0.7273,0.0006,0.0006,0.0002,11,true,0.0006035860110065462,0.0002620791198178795,0.0137,0.0014,10174.58,10184.58,0.542,1,218.26122589876582,218.2651291361116,218.2651291361116,218.22999999999996,218.21048381327128,218.2221935253085,218.214387050617,218.1870643891969,218.22609676265424,218.2456129493829,218.26903237345732,218.2386651869075
735,2018-08-21 10:07:00 EDT,3,0.7273,0.0006,0.0006,0.0002,11,true,0.0006035860110065462,0.0002620791198178795,0.0137,0.0014,10174.58,10184.58,0.542,1,218.2946427140144,218.2908402014253,218.2908402014253,218.27563015106898,218.25661758812356,218.23380251258905,218.2718276384799,218.27943266365804,218.26422261330174,218.27563015106898,218.27943266365804,218.31745778954888
735,2020-01-09 06:29:00 EST,3,0.7273,0.0006,0.0006,0.0002,11,true,0.0006035860110065462,0.0002620791198178795,0.0137,0.0014,10174.58,10184.58,0.542,1,218.18985344166794,218.2634554652767,218.31698420971944,218.33036639583017,218.36382186110689,218.34374858194082,218.33036639583017,218.34374858194082,218.42069615207728,218.4307327916603,218.41065951249428,218.41065951249428
735,2021-08-20 10:31:00 EDT,3,0.7273,0.0006,0.0006,0.0002,11,true,0.0006035860110065462,0.0002620791198178795,0.0137,0.0014,10174.58,10184.58,0.542,1,218.205349599006,218.21382933694795,218.2152097594036,218.2201398396024,218.2065821190557,218.22502061899922,218.26697560149105,218.26451056139163,218.28916096238564,218.25218536089463,218.26944064159045,218.30395120298206
735,2021-10-07 09:53:00 EDT,3,0.7273,0.0006,0.0006,0.0002,11,true,0.0006035860110065462,0.0002620791198178795,0.0137,0.0014,10174.58,10184.58,0.542,1,218.19533437719835,218.2448566954864,218.254761159144,218.26585415844053,218.23990446365758,218.14630728209315,218.15571652256787,218.17914057911813,218.10124197245102,218.13090584110557,218.06410023373496,218.0313164590283
735,2021-12-31 08:48:00 EST,3,0.7273,0.0006,0.0006,0.0002,11,true,0.0006035860110065462,0.0002620791198178795,0.0137,0.0014,10174.58,10184.58,0.542,1,218.27590405774563,218.2758581995461,218.28502983945532,218.25292909977304,218.28502983945532,218.2712723795915,218.28502983945532,218.33088803900142,218.35840295872907,218.39907918172645,218.40884697822978,218.41801861813903
735,2022-04-11 08:33:00 EDT,3,0.7273,0.0006,0.0006,0.0002,11,true,0.0006035860110065462,0.0002620791198178795,0.0137,0.0014,10174.58,10184.58,0.542,1,218.232470341861,218.24482205116595,218.28266768847635,218.234940683722,218.24482205116595,218.27940683721985,218.2645847860539,218.2596441023319,218.21270760697308,218.24482205116595,218.24729239302695,218.2003558976681
735,2022-08-15 09:45:00 EDT,3,0.7273,0.0006,0.0006,0.0002,11,true,0.0006035860110065462,0.0002620791198178795,0.0137,0.0014,10174.58,10184.58,0.542,1,218.25548582239452,218.27587448031016,218.27842306254962,218.33709142570186,218.37526918764888,218.35753105526229,218.3625262764516,218.43388657915634,218.37781776988834,218.3625262764516,218.3930582916803,218.4134979212407
